TAIL_ID,AVERAGE DELAY,AVERAGE TURNAROUND,DISTANCE,FLIGHTS,FLIGHTS DELAYED,PER FLIGHT,TOP AIRPORT,CLUSTERS,Airline,Aircraft Type,Config,Delivered,Remark,Aircraft Name,Age,Status,ExitDate,Age_clean
VH-EBA,98.0,145.0,1949271.0,817.0,266.0,2385.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-08-14,,Cradle Mountain,20.7 Years,Current,,20.7
VH-EBB,175.0,134.0,1136578.0,413.0,126.0,2752.0,YPPH,2,Qantas,Airbus A330-200,C28Y243,01-05-14,,Albany,20.6 Years,Current,,20.6
VH-EBC,100.0,134.0,2070179.0,987.0,336.0,2097.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-07-14,,Surfers Paradise,20.4 Years,Current,,20.4
VH-EBG,111.0,139.0,1933497.0,908.0,288.0,2129.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-12-07,,Barossa Valley,15.6 Years,Current,,15.6
VH-EBJ,109.0,128.0,2108547.0,986.0,327.0,2138.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-02-15,lsd,Margaret River,15.1 Years,Current,,15.1
VH-EBK,92.0,138.0,2062030.0,946.0,303.0,2179.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-08-15,,Savannah Way,15 Years,Current,,15.0
VH-EBL,101.0,135.0,1747666.0,860.0,279.0,2032.0,YPPH,1,Qantas,Airbus A330-200,C28Y243,01-12-08,Pride is in the air cs,Whitsundays,14.6 Years,Current,,14.6
VH-EBM,94.0,191.0,3063669.0,645.0,247.0,4749.0,YSSY,0,Qantas,Airbus A330-200,C27Y228,01-11-09,lsd,Tamar Valley,13.6 Years,Current,,13.6
VH-EBN,101.0,216.0,2999912.0,622.0,217.0,4823.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-02-10,lsd,Clare Valley,13.4 Years,Current,,13.4
VH-EBO,146.0,217.0,2770744.0,601.0,231.0,4610.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-11-10,lsd,Kimberley,12.7 Years,Current,,12.7
VH-EBP,86.0,206.0,2792392.0,569.0,226.0,4907.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-12-10,lsd,Ningaloo Reef,12.6 Years,Current,,12.6
VH-EBQ,82.0,199.0,2261604.0,523.0,205.0,4324.0,YMML,0,Qantas,Airbus A330-200,C27Y228,01-01-14,lsd,Wolgan Valley,12.4 Years,Current,,12.4
VH-EBR,93.0,226.0,2879572.0,639.0,219.0,4506.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-02-14,lsd,Lockyer Valley,11.8 Years,Current,,11.8
VH-EBS,107.0,217.0,2963417.0,631.0,242.0,4696.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-04-13,lsd,Swan Valley,11.7 Years,Current,,11.7
VH-EBV,69.0,202.0,3055196.0,613.0,193.0,4984.0,YBBN,0,Qantas,Airbus A330-200,C27Y228,01-11-12,oneworld cs,Kangaroo Island,10.6 Years,Current,,10.6
VH-OQB,87.0,405.0,2496904.0,379.0,214.0,6588.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-12-08,,Hudson Fysh,15 Years,Current,,15.0
VH-OQD,100.0,498.0,2136501.0,341.0,205.0,6265.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-08-09,Parked,Fergus McMaster,14.6 Years,Current,,14.6
VH-OQG,124.0,433.0,2212153.0,241.0,120.0,9179.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-12-10,,Charles Ulm,13.9 Years,Current,,13.9
VH-OQH,110.0,460.0,2451172.0,384.0,201.0,6383.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-01-11,,Reginald Ansett,13.8 Years,Current,,13.8
VH-OQI,171.0,384.0,174536.0,21.0,9.0,8311.0,WSSS,2,Qantas,Airbus A380-800,F14C64W35Y371,01-01-11,Parked AUH,David Warren,13.1 Years,Current,,13.1
VH-OQJ,86.0,446.0,2386251.0,311.0,169.0,7672.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-04-11,,Bert Hinkler,12.8 Years,Current,,12.8
VH-OQK,118.0,461.0,2325324.0,339.0,161.0,6859.0,WSSS,0,Qantas,Airbus A380-800,F14C70W60Y341,01-11-11,,John Duigan / Reginald Duigan,12.2 Years,Current,,12.2
VH-OQL,108.0,242.0,1177949.0,152.0,82.0,7749.0,YSSY,2,Qantas,Airbus A380-800,F14C64W35Y371,01-12-11,,Phyllis Arnott,12.2 Years,Current,,12.2
VH-QPA,74.0,178.0,2669238.0,620.0,227.0,4305.0,YSSY,0,Qantas,Airbus A330-300,C28Y269,01-11-03,,Kununurra,19.6 Years,Current,,19.6
VH-QPB,77.0,185.0,2681731.0,620.0,206.0,4325.0,YSSY,0,Qantas,Airbus A330-300,C28Y269,01-12-03,,Tennant Creek,19.7 Years,Current,,19.7
